id	group	english	Part of Speech: n=noun, v=verb, adj=adjective, adv=adverb, phrase=phrase	comments for translator	Wiktionary	arabic	arabic_comments	bengali	bengali_comments	 chinese_simplified	 chinese_simplified_comments	 chinese_traditional	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	malay	malay_comments	norwegian	norwegian_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel/internal_id
53	numbers	fifty-three			http://en.wiktionary.org/wiki/fifty-three#Translations	ثلاثة وخمسين 		পঞ্চাশ-তিন 		五十三		五十三		padesát tři 		treoghalvtreds 		drieënvijftig 		پنجاه و سه 		viisikymmentäkolme 		cinquante-trois		dreiundfünfzig		πενήντα τρία 		חמישים ושלוש 		तिरेपन 		ötvenhárom 		lima puluh tiga 		cinquantatre		五十三		sèket telu 		쉰세 		lima puluh tiga 		femtitre 		pięćdziesiąt trzy 		cinqüenta e três		cinqüenta e três		Пятьдесят три		cincuenta y tres		femtiotre 		ห้าสิบสาม 		elli üç		năm mươi ba 		0
54	numbers	fifty-four			http://en.wiktionary.org/wiki/fifty-four#Translations	أربعة وخمسين 		চুয়ান্ন 		五十四		五十四		padesát čtyři 		fireoghalvtreds 		vierenvijftig 		پنجاه و چهار 		viisikymmentäneljä 		cinquante-quatre		vierundfünfzig		πενήντα τέσσερα 		חמישים וארבעה 		चौवन 		ötvennégy 		lima puluh empat 		cinquantaquattro		五十四		sèket papat 		쉰네 		lima puluh empat 		femtifire 		pięćdziesiąt cztery 		cinqüenta e quatro		cinqüenta e quatro		пятьдесят четыре		cincuenta y cuatro		femtiofyra 		ห้าสิบสี่ 		elli dört		năm mươi bốn 		0
55	numbers	fifty-five			http://en.wiktionary.org/wiki/fifty-five#Translations	خمسة وخمسون 		পঞ্চাশ-পাঁচ 		五十五		五十五		padesát pět 		femoghalvtreds 		vijfenvijftig 		پنجاه و پنج 		viisikymmentĆ¤viisi 		cinquante-cinq		fünfundfünfzig		πενήντα πέντε 		חמישים וחמש 		पचपन 		Ötvenöt 		lima puluh lima 		cinquantacinque		五十五		sèket lima 		쉰다섯 		lima puluh lima 		femtifem 		pięćdziesiąt pięć 		cinqüenta e cinco		cinqüenta e cinco		пятьдесят пять		cincuenta y cinco		femtiofem 		ห้าสิบห้า 		elli beş		năm mươi lăm 		0
56	numbers	fifty-six			http://en.wiktionary.org/wiki/fifty-six#Translations	ستة وخمسون 		পঞ্চাশ-ছয় 		五十六		五十六		padesát šest 		Seksoghalvtreds 		zesenvijftig 		پنجاه و شش 		viisikymmentäkuusi 		cinquante-six		sechsundfünfzig		πενήντα έξι 		חמישים ושש 		छप्पन 		ötvenhat 		lima puluh enam 		cinquantasei		五十六		sèket enem 		쉰여섯 		lima puluh enam 		femtiseks 		pięćdziesiąt sześć 		cinqüenta e seis		cinqüenta e seis		пятьдесят шесть		cincuenta y seis		femtiosex 		ห้าสิบหก 		elli altı		năm mươi sáu 		0
57	numbers	fifty-seven			http://en.wiktionary.org/wiki/fifty-seven#Translations	سبعة وخمسون 		পঞ্চাশ-সাত 		五十七		五十七		sedmapadesát 		syvoghalvtreds 		zevenenvijftig 		پنجاه و هفت 		taaviisikymmentäseitsemän 		cinquante-sept		siebenundfünfzig		πενήντα επτά 		בחמישים ושבע 		सत्तावन 		ötvenhét 		lima puluh tujuh 		cinquantasette		五十七		sèket pitu 		쉰일곱 		lima puluh tujuh 		femtisyv 		pięćdziesiąt siedem 		cinqüenta e sete		cinqüenta e sete		пятьдесят семь		cincuenta y siete		femtiosju 		ห้าสิบเจ็ด 		elli yedi		năm mươi bảy 		0
58	numbers	fifty-eight			http://en.wiktionary.org/wiki/fifty-eight#Translations	الثماني والخمسين 		পঞ্চাশ-আট 		五十八		五十八		padesát osm 		otteoghalvtreds 		achtenvijftig 		پنجاه و هشت 		viisikymmentäkahdeksan 		cinquante-huit		achtundfünfzig		πενήντα οκτώ 		חמישים ושמונה 		अट्ठावन 		ötvennyolc 		lima puluh delapan 		cinquantotto		五十八		sèket wolu 		쉰여덟 		lima puluh lapan 		femtiåtte 		pięćdziesiąt osiem 		cinqüenta e oito		cinqüenta e oito		Пятьдесят восемь		cincuenta y ocho		femtioåtta 		ห้าสิบแปด 		elli sekiz		năm mươi tám 		0
59	numbers	fifty-nine			http://en.wiktionary.org/wiki/fifty-nine#Translations	تسعة وخمسين 		পঞ্চাশ-নয়টি 		五十九		五十九		padesát devět 		nioghalvtreds 		negenenvijftig		پنجاه و نه 		viisikymmentäyhdeksän 		cinquante-neuf		neunundfünfzig		πενήντα εννέα 		חמישים ותשע 		उनसठ 		ötvenkilenc 		lima puluh sembilan 		cinquantanove		五十九		sèket sangang 		쉰아홉 		lima puluh sembilan 		femtini 		pięćdziesiąt dziewięć 		cinquenta e nove		cinquenta e nove		пятьдесят девять		cincuenta y nueve		femtionio 		Fifty-Nine 		elli dokuz		năm mươi chín 		0
60	numbers	sixty			http://en.wiktionary.org/wiki/sixty#Translations	ستون 		ষাট 		六十		六十		šedesát 		tres 		zestig		شصت 		kuusikymmentä 		soixante		sechzig		εξήντα 		שישים 		साठ 		hatvan 		enampuluh 		sessanta		六十		enampuluh 		육십 		enampuluh 		seksti 		sześćdziesiąt 		sessenta		sessenta		шестьдесят		sesenta		sextio 		หกสิบ 		altmış		sáu chục 		0
61	numbers	sixty-one			http://en.wiktionary.org/wiki/sixty-one#Translations	واحد وستون 		ষাট-এক 		六十一		六十一		jednašedesát 		Enogtres 		eenenzestig		شصت و یک 		kuusikymmentäyksi 		soixante et un		einundsechzig		εξήντα ένα 		שישים ואחת 		साठ के एक 		hatvanegy 		enam puluh satu 		sessantuno		六十一		sewidak siji 		예순하나 		enam puluh satu 		sekstien 		sześćdziesiąt jeden 		sessenta e um		sessenta e um		шестьдесят один		sesenta y uno		sextioen 		หกสิบเอ็ด 		altmış bir		sáu mươi mốt 		0
62	numbers	sixty-two			http://en.wiktionary.org/wiki/sixty-two#Translations	اثنين وستين 		বাষট্টি 		六十二		六十二		šedesát dva 		toogtres 		tweeënzestig		شصت و دو 		kuusikymmentäkaksi 		soixante-deux		zweiundsechzig		εξήντα δύο 		שישים ושתיים 		बासठ 		hatvankét 		enam puluh dua 		sessantadue		六十二		sewidak loro 		육십 		enam puluh dua 		sekstito 		sześćdziesiąt dwa 		sessenta e dois		sessenta e dois		шестьдесят два		sesenta y dos		sextiotvå 		หกหมื่นสอง 		altmış iki		sáu mươi hai 		0
63	numbers	sixty-three			http://en.wiktionary.org/wiki/sixty-three#Translations	ثلاثة وستون 		ষাট-তিন 		六十三		六十三		šedesát tři 		treogtres 		drieënzestig		شصت و سه 		kuusikymmentäkolme 		soixante-trois		dreiundsechzig		εξήντα τρία 		שישים ושלוש 		तिरेसठ 		hatvanhárom 		enam puluh tiga 		sessantatre		六十三		sewidak tiga 		예순셋 		enam puluh tiga 		sekstitre 		sześćdziesiąt trzy 		sessenta e três		sessenta e três		шестьдесят три		sesenta y tres		sextiotre 		หกสิบสาม 		altmış üç		sáu mươi ba 		0
64	numbers	sixty-four			http://en.wiktionary.org/wiki/sixty-four#Translations	أربعة وستون 		চৌষট্টি 		六十四		六十四		šedesát čtyři 		fireogtres 		vierenzestig		شصت و چهار 		kuusikymmentäneljä 		soixante-quatre		vierundsechzig		εξήντα τέσσερα 		שישים וארבעה 		चौंसठ 		hatvannégy 		enam puluh empat 		sessantaquattro		六十四		suwidak papat 		예순넷 		enam puluh empat 		sekstifire 		sześćdziesiąt cztery 		sessenta e quatro		sessenta e quatro		шестьдесят четыре		sesenta y cuatro		sextiofyra 		หกสิบสี่ 		altmış dört		sáu mươi bốn 		0
65	numbers	sixty-five			http://en.wiktionary.org/wiki/sixty-five#Translations	خمسة وستين 		পঁয়ষট্টি 		六十五		六十五		šedesát pět 		femogtres 		vijfenzestig		شصت و پنج 		kuuttakymmentäviittä 		soixante-cinq		fünfundsechzig		εξήντα πέντε 		שישים וחמש 		पैंसठ 		Hatvanöt 		enam puluh lima 		sessantacinque		六十五		sewidak lima 		예순다섯 		enam puluh lima 		sekstifem 		sześćdziesiąt pięć 		sessenta e cinco		sessenta e cinco		шестьдесят пять		sesenta y cinco		sextiofem 		หกสิบห้า 		altmış beş		sáu mươi lăm 		0
66	numbers	sixty-six			http://en.wiktionary.org/wiki/sixty-six#Translations	ستة وستون 		ষাট-ছয় 		六十六		六十六		šestašedesát 		Sixty-Six 		zesenzestig		شصت و شش 		kuusikymmentäkuusi 		soixante-six		sechsundsechzig		εξήντα έξι 		שישים ושש 		साठ छह 		hatvanhat 		enam puluh enam 		sessantasei		六十六		sewidak enem 		예순여섯 		enam puluh enam 		sekstiseks 		sześćdziesiąt sześć 		sessenta e seis		sessenta e seis		Шестьдесят шесть		sesenta y seis		sextiosex 		หกสิบหก 		altmış altı		sáu mươi sáu 		0
67	numbers	sixty-seven			http://en.wiktionary.org/wiki/sixty-seven#Translations	سبعة وستين 		ষাট-সাত 		六十七		六十七		šedesát sedm 		syvogtres 		zevenenzestig		شصت و هفت 		kuusikymmentäseitsemän 		soixante-sept		siebenundsechzig		εξήντα επτά 		שישים ושבע 		सड़सठ 		hatvanhét 		enam puluh tujuh 		sessantasette		六十七		sewidak pitu 		예순일곱 		enam puluh tujuh 		sekstisyv 		sześćdziesiąt siedem 		sessenta e sete		sessenta e sete		шестьдесят семь		sesenta y siete		sextiosju 		หกสิบเจ็ด 		altmış yedi		sáu mươi bảy 		0
68	numbers	sixty-eight			http://en.wiktionary.org/wiki/sixty-eight#Translations	ثمانية وستين 		ষাট-আট 		六十八		六十八		šedesát osm 		otteogtres 		achtenzestig		شصت و هشت 		kuusikymmentäkahdeksan 		soixante-huit		achtundsechzig		εξήντα οκτώ 		שישים ושמונה 		अड़सठ 		hatvannyolc 		enam puluh delapan 		sessantotto		六十八		sewidak-delapan 		예순여덟 		enam puluh delapan 		sekstiåtte 		sześćdziesiąt osiem 		sessenta e oito		sessenta e oito		шестьдесят восемь		sesenta y ocho		sextioåtta 		หกสิบแปด 		altmış sekiz		sáu mươi tám 		0
69	numbers	sixty-nine			http://en.wiktionary.org/wiki/sixty-nine#Translations	تسعة وستون 		ষাট-নয়টি 		六十九		六十九		šedesát devět 		ni og tres 		negenenzestig		شصت و نه 		kuusikymmentäyhdeksän 		soixante-neuf		neunundsechzig		εξήντα εννέα 		שישים ותשע 		उनहत्तर 		hatvankilenc 		enam puluh sembilan 		sessantanove		六十九		sewidak sangang 		예순아홉 		enam puluh sembilan 		sekstini 		sześćdziesiąt dziewięć 		sessenta e nove		sessenta e nove		шестьдесят девять		sesenta y nueve		sextionio 		69		altmış dokuz		sáu mươi chín 		0
70	numbers	seventy			http://en.wiktionary.org/wiki/seventy#Translations	سبعون 		সত্তর 		七十		七十		sedmdesát 		halvfjerds 		zeventig		هفتاد 		seitsemänkymmentä 		soixante-dix		siebzig		εβδομήντα 		ע 		सत्तर 		hetven 		tujuhpuluh 		settanta		匕十		tujuh 		칠십 		tujuh 		sytti 		siedemdziesiąt 		setenta		setenta		семьдесят		setenta		sjuttio 		เจ็ดสิบ 		yetmiş		bảy mươi 		0
71	numbers	seventy-one			http://en.wiktionary.org/wiki/seventy-one#Translations	واحد وسبعون 		সত্তর-এক 		七十一		七十一		sedmdesát jedna 		enoghalvfjerds 		eenenzeventig		هفتاد و یک 		seitsemänkymmentäyksi 		soixante et onze		einundsiebzig		εβδομήντα ένα 		שבעות ואחד 		इकहत्तर 		hetvenegy 		tujuh puluh satu 		settantuno		七十一		pitung puluh siji 		일흔한 		tujuh puluh satu 		syttiett 		siedemdziesiąt jeden 		setenta e um		setenta e um		семьдесят один		setenta y uno		Sjuttio-en 		เจ็ดสิบเอ็ด 		yetmiş bir		bảy mươi mốt 		0
72	numbers	seventy-two			http://en.wiktionary.org/wiki/seventy-two#Translations	اثنان وسبعون 		বাহাত্তর 		七十二		七十二		sedmdesát dva 		tooghalvfjerds 		tweeënzeventig		هفتاد و دو 		seitsemänkymmentä kaksi 		soixante-douze		zweiundsiebzig		εβδομήντα δύο 		שבעות ושתיים 		बहत्तर 		hetvenkét 		tujuh puluh dua 		settantadue		七十二		pitung puluh loro 		칠십 		tujuh puluh dua 		syttito 		siedemdziesiąt dwa 		setenta e dois		setenta e dois		семьдесят два		setenta y dos		sjuttiotvå 		เจ็ดสิบสอง 		yetmiş iki		bảy mươi hai 		0
73	numbers	seventy-three			http://en.wiktionary.org/wiki/seventy-three#Translations	ثلاثة وسبعون 		বাহাত্তর তিনটি 		七十三		七十三		sedmdesát tři 		treoghalvfjerds 		drieënzeventig		هفتاد و سه 		seitsemänkymmentäkolme 		soixante-treize		dreiundsiebzig		εβδομήντα τρία 		שבעות ושלוש 		तिहत्तर 		hetvenhárom 		tujuh puluh tiga 		settantatre		七十三		pitung puluh telu 		일흔세 		tujuh puluh tiga 		syttitre 		siedemdziesiąt trzy 		setenta e três		setenta e três		семьдесят три		setenta y tres		sjuttiotre 		เจ็ดสิบสาม 		yetmiş üç		bảy mươi ba 		0
74	numbers	seventy-four			http://en.wiktionary.org/wiki/seventy-four#Translations	أربعة وسبعين 		সত্তর-চার 		七十四		七十四		sedmdesát čtyři 		Seventy-four 		vierenzeventig		هفتاد و چهار 		seitsemänkymmentäneljä 		soixante-quatorze		vierundsiebzig		εβδομήντα τέσσερα 		שבעות וארבעה 		चौहत्तर 		hetvennégy 		tujuh puluh empat 		settantaquattro		七十四		pitung puluh papat 		일흔네 		tujuh puluh empat 		syttifire 		siedemdziesiąt cztery 		setenta e quatro		setenta e quatro		семьдесят четыре		setenta y cuatro		sjuttiofyra 		เจ็ดสิบสี่ 		yetmiş dört		bảy mươi tư 		0
75	numbers	seventy-five			http://en.wiktionary.org/wiki/seventy-five#Translations	خمسة وسبعين 		পঁচাত্তর 		七十五		七十五		sedmdesát pět 		femoghalvfjerds 		vijfenzeventig		هفتاد و پنج 		seitsemänkymmentäviisi 		soixante-quinze		fünfundsiebzig		εβδομήντα πέντε 		שבעים וחמישה 		पचहत्तर 		hetvenöt 		tujuh puluh lima 		settantacinque		七十五		pitung puluh lima 		칠십 오 		tujuh puluh lima 		syttifem 		siedemdziesięciu pięciu 		setenta e cinco		setenta e cinco		семьдесят пять		setenta y cinco		sjuttiofem 		เจ็ดสิบห้า 		yetmiş beş		bảy mươi lăm 		0
76	numbers	seventy-six			http://en.wiktionary.org/wiki/seventy-six#Translations	ستة وسبعون 		সত্তর-ছয় 		七十六		七十六		sedmdesát-šest 		syvtiseks 		zesenzeventig		هفتاد و شش 		seitsemänkymmentäkuusi 		soixante-seize		sechsundsiebzig		εβδομήντα έξι 		שבעים ושישה 		छिहत्तर 		hetvenhat 		tujuh puluh enam 		settantasei		七十六		pitung puluh enem 		일흔여섯 		tujuh puluh enam 		syttiseks 		siedemdziesiąt sześć 		setenta e seis		setenta e seis		Семьдесят шесть		setenta y seis		sjuttiosex 		หกเจ็ด 		yetmiş altı		bảy mươi sáu 		0
77	numbers	seventy-seven			http://en.wiktionary.org/wiki/seventy-seven#Translations	سبعة وسبعين 		বাহাত্তর সাত 		七十七		七十七		sedmdesát sedm 		syvoghalvfjerds 		zevenenzeventig		هفتاد و هفت 		seitsemänkymmentäseitsemän 		soixante-dix-sept		siebenundsiebzig		εβδομήντα επτά 		שבעים ושבעה 		सतहत्तर 		hetvenhét 		tujuh puluh tujuh 		settantasette		七十七		pitung puluh pitu 		일흔일곱 		tujuh puluh tujuh 		syttisyv 		siedemdziesiąt siedem 		setenta e sete		setenta e sete		Семьдесят семь		setenta y siete		sjuttiosju 		เจ็ดสิบเจ็ด 		yetmiş yedi		bảy mươi bảy 		0
78	numbers	seventy-eight			http://en.wiktionary.org/wiki/seventy-eight#Translations	ثمانية وسبعون 		সত্তর-আট 		七十八		七十八		sedmdesát osm 		otteoghalvfjerds 		achtenzeventig		هفتاد و هشت 		seitsemänkymmentäkahdeksan 		soixante-dix-huit		achtundsiebzig		εβδομήντα οκτώ 		שבעים ושמונה 		सत्तर आठ 		hetvennyolc 		tujuh puluh delapan 		settantotto		七十八		pitung puluh wolu 		일흔여덟 		tujuh puluh lapan 		syttiåtte 		siedemdziesiąt osiem 		setenta e oito		setenta e oito		семьдесят восемь		setenta y ocho		sjuttioåtta 		เจ็ดสิบแปด 		yetmiş sekiz		bảy mươi tám 		0
79	numbers	seventy-nine			http://en.wiktionary.org/wiki/seventy-nine#Translations	تسعة وسبعون 		সত্তর-নয়টি 		七十九		七十九		Sedmdesát dva 		nioghalvfjerds 		negenenzeventig		هفتاد و نه 		seitsemänkymmentäyhdeksän 		soixante-dix-neuf		neunundsiebzig		εβδομήντα εννέα 		שבעים ותשעה 		उनासी 		hetvenkilenc 		tujuh puluh sembilan 		settantanove		七十九		pitung puluh sanga 		일흔아홉 		tujuh puluh sembilan 		syttini 		siedemdziesiąt dziewięć 		setenta e nove		setenta e nove		семьдесят девять		setenta y nueve		sjuttionio 		79		yetmiş dokuz		bảy mươi chín 		0
80	numbers	eighty			http://en.wiktionary.org/wiki/eighty#Translations	ثمانون 		আশি 		八十		八十		osmdesát 		firs 		tachtig		هشتاد 		kahdeksankymmentä 		quatre-vingts		achtzig		ογδόντα 		שמונים 		अस्सी 		nyolcvan 		delapanpuluh 		ottanta		はちじゅう		delapanpuluh 		여든 		delapanpuluh 		åtti 		osiemdziesiąt 		oitenta		oitenta		восемьдесят		ochenta		åttio 		แปดสิบ 		seksen		tám mươi 		0
81	numbers	eighty-one			http://en.wiktionary.org/wiki/eighty-one#Translations	واحد وثمانون 		আশি-এক 		八十一		八十一		osmdesát jedna 		enogfirs 		eenentachtig		هشتاد و یک 		kahdeksankymmentäyksi 		quatre-vingt-un		einundachtzig		ογδόντα ένα 		שימון ואחת 		इक्यासी 		Nyolcvanegy 		delapan puluh satu 		ottantuno		八十一		wolung puluh siji 		여든한 		lapan puluh satu 		åttiett 		osiemdziesiąt jeden 		oitenta e um		oitenta e um		восемьдесят один		ochenta y uno		Åttio-en 		พรรษา 		seksen bir		tám mươi mốt 		0
82	numbers	eighty-two			http://en.wiktionary.org/wiki/eighty-two#Translations	اثنين وثمانين 		আশি-দুই 		八十二		八十二		osmdesát dva 		toogfirs 		tweeëntachtig		هشتاد و دوم 		kahdeksankymmentäkaksi 		quatre-vingt-deux		zweiundachtzig		ογδόντα δύο 		שימון ושתיים 		बयासी 		nyolcvankét 		delapan puluh dua 		ottantadue		八十二		wolung puluh loro 		여든두 		delapan puluh dua 		åttito 		osiemdziesiąt dwa 		oitenta e dois		oitenta e dois		восемьдесят два		ochenta y dos		Åttiotvå 		สิบสอง 		seksen iki		tám mươi hai 		0
83	numbers	eighty-three			http://en.wiktionary.org/wiki/eighty-three#Translations	ثلاثة وثمانين 		আশি-তিন 		八十三		八十三		osmdesát tři 		treogfirs 		drieëntachtig		هشتاد و سه 		kahdeksankymmentäkolme 		quatre-vingt-trois		dreiundachtzig		ογδόντα τρία 		שימון ושלוש 		तिरासी 		nyolcvanhárom 		delapan puluh tiga 		ottantatre		八十三		wolung puluh telu 		여든세 		lapan puluh tiga 		åttitre 		osiemdziesiąt trzy 		oitenta e três		oitenta e três		восемьдесят три		ochenta y tres		Åttiotre 		มีอายุแปดสิบสาม 		seksen üç		tám mươi ba 		0
84	numbers	eighty-four			http://en.wiktionary.org/wiki/eighty-four#Translations	أربعة وثمانون 		চুরাশি 		八十四		八十四		osmdesát čtyři 		Eighty-Four 		vierentachtig		هشتاد و چهار 		kahdeksankymmentäneljä 		quatre-vingt-quatre		vierundachtzig		ογδόντα τέσσερις 		שימון וארבעה 		चौरासी 		nyolcvannégy 		delapan puluh empat 		ottantaquattro		八十四		wolung puluh papat 		여든네 		delapan puluh empat 		åttifire 		osiemdziesiąt cztery 		oitenta e quatro		oitenta e quatro		восемьдесят четыре		ochenta y cuatro		åttiofyra 		อายุแปดสิบสี่ 		seksen dört		tám mươi bốn 		0
85	numbers	eighty-five			http://en.wiktionary.org/wiki/eighty-five#Translations	خمسة وثمانون 		আশি-পাঁচ 		八十五		八十五		osmdesát pět 		femogfirs 		vijfentachtig		هشتاد و پنج 		kahdeksankymmentäviisi 		quatre-vingt-cinq		fünfundachtzig		ογδόντα πέντε 		שימונים וחמש 		पचासी 		nyolcvanöt 		delapan puluh lima 		ottantacinque		八十五 		wolung puluh lima, 		여든다섯 		lapan puluh lima 		åttifem 		osiemdziesiąt pięć 		oitenta e cinco		oitenta e cinco		восемьдесят пять		ochenta y cinco		åttiofem 		แปดสิบห้า 		seksen beş		tám mươi lăm 		0
86	numbers	eighty-six			http://en.wiktionary.org/wiki/eighty-six#Translations	ستة وثمانين 		আশি-ছয় 		八十六		八十六		osmdesát šest 		seksogfirs 		zesentachtig		هشتاد و شش 		kahdeksankymmentäkuusi 		quatre-vingt-six		sechsundachtzig		ογδόντα έξι 		שימונים ושישה 		छियासी 		Nyolcvanhat 		delapan puluh enam 		ottantasei		八十六		wolung puluh nem 		여든여섯 		lapan puluh enam 		åttiseks 		osiemdziesiąt sześć 		oitenta e seis		oitenta e seis		восемьдесят шесть		ochenta y seis		åttiosex 		แปดหมื่นหก 		seksen altı		tám mươi sáu 		0
87	numbers	eighty-seven			http://en.wiktionary.org/wiki/eighty-seven#Translations	سبعة وثمانين 		আশি-সাত 		八十七		八十七		osmdesát sedm 		syvogfirs 		zevenentachtig		هشتاد و هفت 		kahdeksankymmentäseitsemän 		quatre-vingt-sept		siebenundachtzig		ογδόντα επτά 		שימונים ושבעה 		सत्तासी 		nyolcvanhét 		delapan puluh tujuh 		ottantasette		八十七		wolung puluh pitu 		여든일곱 		delapan puluh tujuh 		åttisyv 		osiemdziesiąt siedem 		oitenta e sete		oitenta e sete		Восемьдесят семь		ochenta y siete		åttiosju 		แปดสิบเจ็ด 		seksen yedi		tám mươi bảy 		0
88	numbers	eighty-eight			http://en.wiktionary.org/wiki/eighty-eight#Translations	ثمانية وثمانون 		আশি-আট 		八十八		八十八		osmdesát osm 		otteogfirs 		achtentachtig		هشتاد و هشت 		kahdeksankymmentäkahdeksan 		quatre-vingt-huit		achtundachtzig		ογδόντα οκτώ 		שימונים ושמונה 		अट्ठासी 		nyolcvannyolc 		delapan puluh delapan 		ottantotto		八十八		wolung puluh wolu 		여든여덟 		lapan puluh lapan 		åttiåtte 		osiemdziesiąt osiem 		oitenta e oito		oitenta e oito		Восемьдесят восемь		ochenta y ocho		åttioåtta 		แปดสิบแปด 		seksen sekiz		tám mươi tám 		0
89	numbers	eighty-nine			http://en.wiktionary.org/wiki/eighty-nine#Translations	تسعة وثمانون 		আশি-নয়টি 		八十九		八十九		osmdesát devět 		niogfirs 		negenentachtig		هشتاد و نه 		kahdeksankymmentäyhdeksän 		quatre-vingt-neuf		neunundachtzig		ογδόντα εννέα 		שימונים ותשעה 		नवासी 		nyolcvankilenc 		delapan puluh sembilan 		ottantanove		八十九		wolung puluh sangang 		여든아홉 		lapan puluh sembilan 		åttini 		osiemdziesiąt dziewięć 		oitenta e nove		oitenta e nove		Восемьдесят девять		ochenta y nueve		Åttionio 		89		seksen dokuz		tám mươi chín 		0
90	numbers	ninety			http://en.wiktionary.org/wiki/ninety#Translations	تسعون 		নব্বুই 		九十		九十		devadesát 		halvfems 		negentig		نود 		yhdeksänkymmentä 		quatre-vingt-dix		neunzig		ενενήντα 		תשעים 		नव्वे 		kilencven 		sembilanpuluh 		novanta		九十		salapan puluh 		아흔 		sembilanpuluh 		nitti 		dziewięćdziesiąt 		noventa		noventa		девяносто		noventa		nittio 		เก้าสิบ 		doksan		chín chục 		0
91	numbers	ninety-one			http://en.wiktionary.org/wiki/ninety-one#Translations	واحد وتسعين 		নব্বই-এক 		九十一		九十一		devadesát jedna 		enoghalvfems 		eenennegentig		نود و یک 		yhdeksänkymmentäyksi 		quatre-vingt-onze		einundneunzig		ενενήντα ένα 		תשעים ואחת 		९१ 		kilencvenegy 		sembilan puluh satu 		novantuno		九十一		sangang puluh siji 		아흔하나 		sembilan puluh satu 		nittiett 		dziewięćdziesiąt jeden 		e noventa e um		e noventa e um		девяносто один		noventa y uno		nittioen 		เก้าสิบเอ็ด 		doksan bir		chín mươi mốt 		0
92	numbers	ninety-two			http://en.wiktionary.org/wiki/ninety-two#Translations	اثنان وتسعون 		নব্বই-দুই 		九十二		九十二		devadesát dva 		tooghalvfems 		tweeënnegentig		نود و دو 		yhdeksänkymmentäkaksi 		quatre-vingt-douze		zweiundneunzig		ενενήντα δύο 		תשעים ושתיים 		बानबे 		kilencvenkét 		sembilan puluh dua 		novantadue		九十二		sangang puluh loro 		아흔두 		sembilan puluh dua 		nittito 		dziewięćdziesiąt dwa 		noventa e dois		noventa e dois		девяносто два		noventa y dos		nittiotvå 		เก้าสิบสอง 		doksan iki		chín mươi hai 		0
93	numbers	ninety-three			http://en.wiktionary.org/wiki/ninety-three#Translations	ثلاثة وتسعين 		নব্বই-তিন 		九十三		九十三		devadesát tři 		treoghalvfems 		drieënnegentig		نود و سه 		yhdeksänkymmentäkolme 		quatre-vingt-treize		dreiundneunzig		ενενήντα τρία 		תשעים ושלוש 		तिरानबे 		kilencvenhárom 		sembilan puluh tiga 		novantatre		九十三		sangang puluh telu 		아흔셋 		sembilan puluh tiga 		nittitre 		dziewięćdziesiąt trzy 		noventa e três		noventa e três		девяносто три		noventa y tres		Nittiotre 		93		doksan üç		Chín mươi ba 		0
94	numbers	ninety-four			http://en.wiktionary.org/wiki/ninety-four#Translations	أربعة وتسعون 		নব্বই-চার 		九十四		九十四		devadesát čtyři 		fireoghalvfems 		vierennegentig		نود و چهار 		yhdeksänkymmentäneljä 		quatre-vingt-quatorze		vierundneunzig		ενενήντα τέσσερα 		תשעים וארבעה 		नब्बे चार 		Kilencvennégy 		sembilan puluh empat 		novantaquattro		九十四		sangang puluh papat 		아흔넷 		sembilan puluh empat 		nittifire 		dziewięćdziesiąt cztery 		e noventa e quatro		e noventa e quatro		девяносто четыре		noventa y cuatro		nittiofyra 		ไนน์ตี้โฟ 		doksan dört		94		0
95	numbers	ninety-five			http://en.wiktionary.org/wiki/ninety-five#Translations	خمسة وتسعون 		নব্বই-পাঁচটি 		九十五		九十五		devadesát pět 		femoghalvfems 		vijfennegentig		نود و پنج 		yhdeksänkymmentä viisi 		quatre-vingt-quinze		fünfundneunzig		ενενήντα πέντε 		תשעים וחמישה 		पंचानबे 		kilencvenöt 		sembilan puluh lima 		novantacinque		九十五		sangang puluh lima 		아흔다섯 		sembilan puluh lima 		nittifem 		dziewięćdziesiąt pięć 		noventa e cinco		noventa e cinco		девяносто пять		noventa y cinco		nittiofem 		เก้าสิบห้า 		doksan beş		chín mươi lăm 		0
96	numbers	ninety-six			http://en.wiktionary.org/wiki/ninety-six#Translations	ستة و تسعين 		নব্বই-ছয় 		九十六		九十六		devadesát šest, 		seksoghalvfems 		zesennegentig		نود و شش 		yhdeksänkymmentäkuusi 		quatre-vingt-seize		sechsundneunzig		ενενήντα έξι 		תשעים ושישה 		छियानबे 		kilencvenhat 		sembilan puluh enam 		novantasei		九十六		sangang puluh enem 		아흔여섯 		sembilan puluh enam 		nittiseks 		dziewięćdziesiąt sześć 		noventa e seis		noventa e seis		Девяносто шесть		noventa y seis		nittiosex 		เก้าสิบหก 		doksan altı		chín mươi sáu 		0
